fileName,pmID
medline17n0404,12289937
medline17n0404,12290485
medline17n0404,12290829
medline17n0404,12290830
medline17n0405,12319157
medline17n0405,12319677
medline17n0405,12345462
medline17n0405,12346319
medline17n0405,12346951
medline17n0385,11633129
medline17n0385,11633130
medline17n0385,11633131
medline17n0385,11633132
medline17n0385,11633133
medline17n0619,19122753
medline17n0625,19330043
medline17n0581,17917692
medline17n0633,19587838
medline17n0639,19774230
medline17n0639,19777074
medline17n0639,19777078
medline17n0640,19834573
medline17n0641,19844596
medline17n0644,19953199
medline17n0503,15396330
medline17n0503,15396331
medline17n0503,15396332
medline17n0503,15396333
medline17n0503,15396334
medline17n0503,15396335
medline17n0503,15398414
medline17n0503,15398415
medline17n0503,15398416
medline17n0503,15398417
medline17n0503,15407780
medline17n0503,15407781
medline17n0503,15407782
medline17n0503,15408374
medline17n0537,16520828
medline17n0647,20046935
medline17n0588,18132812
medline17n0588,18132813
medline17n0588,18132814
medline17n0588,18132815
medline17n0588,18134183
medline17n0588,18134184
medline17n0588,18134185
medline17n0588,18134186
medline17n0588,18134187
medline17n0588,18135383
medline17n0588,18135384
medline17n0588,18135385
medline17n0588,18137685
medline17n0588,18137686
medline17n0588,18137687
medline17n0588,18137688
medline17n0588,18146097
medline17n0588,18146099
medline17n0588,18146098
medline17n0588,18146405
medline17n0588,18146734
medline17n0588,18146735
medline17n0588,18146736
medline17n0588,18146737
medline17n0588,18147060
medline17n0588,18147652
medline17n0588,18147654
medline17n0588,18147653
medline17n0588,18153864
medline17n0588,18153865
medline17n0588,18153866
medline17n0588,18153867
medline17n0649,20119499
medline17n0651,20161009
medline17n0651,20161029
medline17n0651,20161596
medline17n0651,20179783
medline17n0591,18228918
medline17n0652,20190878
medline17n0652,20198107
medline17n0604,18670579
medline17n0604,18670581
medline17n0604,18670583
medline17n0680,21113332
medline17n0662,20514151
medline17n0682,21179392
medline17n0682,21179401
medline17n0664,20585465
medline17n0611,18866726
medline17n0611,18866728
medline17n0611,18866727
medline17n0611,18868712
medline17n0611,18868713
medline17n0611,18868714
medline17n0611,18868715
medline17n0611,18868716
medline17n0611,18879754
medline17n0611,18879755
medline17n0611,18879756
medline17n0611,18879757
medline17n0611,18879759
medline17n0611,18879758
medline17n0611,18879760
medline17n0611,18883797
medline17n0611,18883798
medline17n0611,18889155
medline17n0611,18889157
medline17n0611,18889156
medline17n0611,18889158
medline17n0611,18889159
medline17n0611,18889160
medline17n0666,20634997
medline17n0666,20657711
medline17n0666,20664805
medline17n0612,18908532
medline17n0612,18908533
medline17n0612,18908534
medline17n0612,18908535
medline17n0612,18908536
medline17n0612,18908538
medline17n0612,18908537
medline17n0612,18908539
medline17n0612,18908540
medline17n0612,18908541
medline17n0612,18908542
medline17n0612,18908543
medline17n0612,18908544
medline17n0612,18908545
medline17n0612,18908546
medline17n0612,18908547
medline17n0612,18915047
medline17n0612,18915048
medline17n0612,18915049
medline17n0612,18918119
medline17n0612,18918120
medline17n0684,21243106
medline17n0684,21243108
medline17n0684,21258648
medline17n0613,18939176
medline17n0668,20717487
medline17n0688,21359130
medline17n0673,20862266
medline17n0737,22984646
medline17n0738,23019537
medline17n0738,23028266
medline17n0823,25750689
medline17n0823,25750760
medline17n0675,20948983
medline17n0675,20948988
medline17n0677,21004203
